"Time (s)","Pressure (hPa)"
1.042315498E0,1.016069946E3
1.978119962E0,1.016079956E3
2.913924426E0,1.016079956E3
3.849728890E0,1.016099976E3
4.785533354E0,1.016059998E3
5.721337818E0,1.016089966E3
6.657142282E0,1.016069946E3
7.592946746E0,1.016069946E3
8.528751210E0,1.016069946E3
9.464555674E0,1.016099976E3
1.040036014E1,1.016109985E3
1.133616460E1,1.016089966E3
1.227196907E1,1.016039978E3
1.320777353E1,1.016079956E3
1.414357799E1,1.016089966E3
1.507938246E1,1.016079956E3
1.601518692E1,1.016049988E3
1.695099139E1,1.016109985E3
1.788679585E1,1.016049988E3
1.882260031E1,1.016109985E3
1.975840478E1,1.016139954E3
2.069420924E1,1.016119995E3
2.163001371E1,1.016099976E3
2.256581817E1,1.016019958E3
2.350162263E1,1.016069946E3
2.443742710E1,1.016079956E3
2.537323156E1,1.016039978E3
2.630903603E1,1.016029968E3
2.724484049E1,1.015969971E3
2.818064495E1,1.015949951E3
2.911644942E1,1.015969971E3
3.005225388E1,1.015919983E3
3.098805835E1,1.015889954E3
3.192386281E1,1.015869995E3
3.285966727E1,1.015829956E3
3.379547174E1,1.015829956E3
3.473127620E1,1.015799988E3
3.566708067E1,1.015809998E3
3.660288513E1,1.015690002E3
3.753868959E1,1.015659973E3
3.847449406E1,1.015639954E3
3.941029852E1,1.015649963E3
4.034610299E1,1.015659973E3
4.128190745E1,1.015669983E3
4.221771191E1,1.015679993E3
4.315351638E1,1.015690002E3
4.408932084E1,1.015659973E3
4.502512531E1,1.015659973E3
4.596092977E1,1.015679993E3
4.689673423E1,1.015629944E3
4.783253870E1,1.015629944E3
4.876834316E1,1.015649963E3
4.970414763E1,1.015649963E3
5.063995209E1,1.015690002E3
5.157575655E1,1.015639954E3
5.251156102E1,1.015659973E3
5.344736548E1,1.015649963E3
5.438316995E1,1.015659973E3
5.531897441E1,1.015669983E3
5.625477887E1,1.015669983E3
5.719058334E1,1.015659973E3
