"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109878.004,"2024-12-01 19:24:38.004 UTC-08:00"
"PAUSE",6.606255677E1,1733109944.067,"2024-12-01 19:25:44.067 UTC-08:00"
