"Time (s)","Pressure (hPa)"
1.047032427E0,1.016099976E3
1.982836891E0,1.016079956E3
2.918641355E0,1.015429993E3
3.854445819E0,1.016079956E3
4.790250283E0,1.016059998E3
5.726054747E0,1.016079956E3
6.661859211E0,1.016109985E3
7.597663675E0,1.016109985E3
8.533468139E0,1.016109985E3
9.469272603E0,1.016099976E3
1.040507707E1,1.016099976E3
1.134088153E1,1.016099976E3
1.227668600E1,1.016099976E3
1.321249046E1,1.016069946E3
1.414829492E1,1.016109985E3
1.508409939E1,1.016119995E3
1.601990385E1,1.016129944E3
1.695570832E1,1.016089966E3
1.789151278E1,1.016109985E3
1.882731724E1,1.016119995E3
1.976312171E1,1.016079956E3
2.069892617E1,1.016099976E3
2.163473064E1,1.016059998E3
2.257053510E1,1.016149963E3
2.350633956E1,1.016109985E3
2.444214403E1,1.016139954E3
2.537794849E1,1.016129944E3
2.631375296E1,1.016119995E3
2.724955742E1,1.016099976E3
2.818536188E1,1.016119995E3
2.912116635E1,1.016089966E3
3.005697081E1,1.016069946E3
3.099277528E1,1.016079956E3
3.192857974E1,1.016109985E3
3.286438420E1,1.016089966E3
3.380018867E1,1.016119995E3
3.473599313E1,1.016069946E3
3.567179760E1,1.016129944E3
3.660760206E1,1.016139954E3
3.754340652E1,1.016059998E3
3.847921099E1,1.016089966E3
3.941501545E1,1.016039978E3
4.035081992E1,1.015989990E3
4.128662438E1,1.015979980E3
4.222242884E1,1.015919983E3
4.315823331E1,1.015839966E3
4.409403777E1,1.015839966E3
4.502984224E1,1.015789978E3
4.596564670E1,1.015759949E3
4.690145116E1,1.015690002E3
4.783725563E1,1.015699951E3
4.877306009E1,1.015690002E3
4.970886456E1,1.015639954E3
5.064466902E1,1.015659973E3
5.158047348E1,1.015659973E3
5.251627795E1,1.015669983E3
5.345208241E1,1.015619995E3
5.438788688E1,1.015679993E3
5.532369134E1,1.015659973E3
