"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109629.796,"2024-12-01 19:20:29.796 UTC-08:00"
"PAUSE",6.523129016E1,1733109695.027,"2024-12-01 19:21:35.027 UTC-08:00"
