"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110824.738,"2024-12-01 19:40:24.738 UTC-08:00"
"PAUSE",5.946513323E1,1733110884.203,"2024-12-01 19:41:24.203 UTC-08:00"
